StartDate,Site,PrescribedTreatment,Folder,LabelledSite
2023-06-21,1,C,,
2023-06-21,2,W,,
2023-06-21,3,C,,
2023-06-21,4,C,,
2023-06-21,5,C,,
2023-06-21,6,W,,
2023-06-21,7,C,,
2023-06-21,8,C,,
2023-06-21,9,W,,
2023-06-21,10,A,,
2023-06-21,11,A,,
2023-06-21,12,A,,
2023-06-26,1,A,1,1
2023-06-26,2,C,2,2
2023-06-26,3,A,,
2023-06-26,4,W,4,4
2023-06-26,5,W,5,5
2023-06-26,6,C,6,6
2023-06-26,7,W,7,7
2023-06-26,8,A,8,8
2023-06-26,9,C,,
2023-06-26,10,C,10,10
2023-06-26,11,C,11,11
2023-06-26,12,C,12,12
2023-07-01,1,C,1,3
2023-07-01,2,A,2,2
2023-07-01,3,C,,
2023-07-01,4,C,4,4
2023-07-01,5,C,5,5
2023-07-01,6,A,,
2023-07-01,7,C,,
2023-07-01,8,C,8,8
2023-07-01,9,A,9,9
2023-07-01,10,W,10,10
2023-07-01,11,W,,
2023-07-01,12,W,12,12
2023-07-06,1,W,1,3
2023-07-06,2,C,2,2
2023-07-06,3,W,,
2023-07-06,4,A,,
2023-07-06,5,A,5,5
2023-07-06,6,C,6,6
2023-07-06,7,A,7,7
2023-07-06,8,W,,
2023-07-06,9,C,,
2023-07-06,10,C,10,10
2023-07-06,11,C,11,11
2023-07-06,12,C,12,12
2023-07-11,1,C,1,3
2023-07-11,2,W,2,2
2023-07-11,3,C,3,3
2023-07-11,4,C,4,4
2023-07-11,5,C,5,5
2023-07-11,6,W,6,6
2023-07-11,7,C,7,7
2023-07-11,8,C,8,8
2023-07-11,9,W,9,9
2023-07-11,10,A,10,10
2023-07-11,11,A,11,11
2023-07-11,12,A,12,12
2023-07-16,1,A,1,3
2023-07-16,2,C,2,2
2023-07-16,3,A,,
2023-07-16,4,W,,
2023-07-16,5,W,5,5
2023-07-16,6,C,6,6
2023-07-16,7,W,7,7
2023-07-16,8,A,8,8
2023-07-16,9,C,,
2023-07-16,10,C,10,10
2023-07-16,11,C,11,11
2023-07-16,12,C,12,12
2023-07-21,1,C,1,3
2023-07-21,2,A,2,2
2023-07-21,3,C,3,3
2023-07-21,4,C,4,4
2023-07-21,5,C,5,5
2023-07-21,6,A,6,6
2023-07-21,7,C,,
2023-07-21,8,C,8,8
2023-07-21,9,A,,
2023-07-21,10,W,10,10
2023-07-21,11,W,,
2023-07-21,12,W,,
2023-07-26,1,W,1,3
2023-07-26,2,C,,
2023-07-26,3,W,,
2023-07-26,4,A,4,4
2023-07-26,5,A,5,5
2023-07-26,6,C,6,6
2023-07-26,7,A,,
2023-07-26,8,W,8,8
2023-07-26,9,C,,
2023-07-26,10,C,10,10
2023-07-26,11,C,11,11
2023-07-26,12,C,,
2023-07-31,1,C,1,3
2023-07-31,2,W,,
2023-07-31,3,C,3,3
2023-07-31,4,C,4,4
2023-07-31,5,C,5,5
2023-07-31,6,W,6,6
2023-07-31,7,C,7,7
2023-07-31,8,C,8,8
2023-07-31,9,W,,
2023-07-31,10,A,,
2023-07-31,11,A,,
2023-07-31,12,A,12,12
2023-08-05,1,A,1,3
2023-08-05,2,C,,
2023-08-05,3,A,,
2023-08-05,4,W,4,4
2023-08-05,5,W,5,5
2023-08-05,6,C,6,6
2023-08-05,7,W,7,7
2023-08-05,8,A,8,8
2023-08-05,9,C,9,9
2023-08-05,10,C,,
2023-08-05,11,C,11,11
2023-08-05,12,C,12,12
2023-08-10,1,C,1,3
2023-08-10,2,A,,
2023-08-10,3,C,3,3
2023-08-10,4,C,4,4
2023-08-10,5,C,5,5
2023-08-10,6,A,6,6
2023-08-10,7,C,7,7
2023-08-10,8,C,8,8
2023-08-10,9,A,9,9
2023-08-10,10,W,,
2023-08-10,11,W,,
2023-08-10,12,W,12,12
2023-08-15,1,W,1,3
2023-08-15,2,C,,
2023-08-15,3,W,3,3
2023-08-15,4,A,4,4
2023-08-15,5,A,5,5
2023-08-15,6,C,6,6
2023-08-15,7,A,7,7
2023-08-15,8,W,8,8
2023-08-15,9,C,9,9
2023-08-15,10,C,,
2023-08-15,11,C,,
2023-08-15,12,C,12,12
2023-08-20,1,C,,
2023-08-20,2,W,,
2023-08-20,3,C,3,3
2023-08-20,4,C,,
2023-08-20,5,C,5,5
2023-08-20,6,W,6,6
2023-08-20,7,C,7,7
2023-08-20,8,C,8,8
2023-08-20,9,W,9,9
2023-08-20,10,A,,
2023-08-20,11,A,,
2023-08-20,12,A,12,12
2023-08-25,1,A,,
2023-08-25,2,C,,
2023-08-25,3,A,3,3
2023-08-25,4,W,4,4
2023-08-25,5,W,5,5
2023-08-25,6,C,6,6
2023-08-25,7,W,7,7
2023-08-25,8,A,8,8
2023-08-25,9,C,,
2023-08-25,10,C,,
2023-08-25,11,C,,
2023-08-25,12,C,12,12
2023-08-30,1,C,,
2023-08-30,2,A,,
2023-08-30,3,C,3,3
2023-08-30,4,C,4,4
2023-08-30,5,C,5,5
2023-08-30,6,A,6,6
2023-08-30,7,C,7,7
2023-08-30,8,C,8,8
2023-08-30,9,A,9,9
2023-08-30,10,W,,
2023-08-30,11,W,,
2023-08-30,12,W,,
2023-09-04,1,W,,
2023-09-04,2,C,,
2023-09-04,3,W,,
2023-09-04,4,A,,
2023-09-04,5,A,,
2023-09-04,6,C,,
2023-09-04,7,A,,
2023-09-04,8,W,,
2023-09-04,9,C,,
2023-09-04,10,C,,
2023-09-04,11,C,,
2023-09-04,12,C,,
2023-09-09,1,C,,
2023-09-09,2,W,,
2023-09-09,3,C,,
2023-09-09,4,C,,
2023-09-09,5,C,,
2023-09-09,6,W,,
2023-09-09,7,C,,
2023-09-09,8,C,,
2023-09-09,9,W,,
2023-09-09,10,A,,
2023-09-09,11,A,,
2023-09-09,12,A,,
2023-09-14,1,A,,
2023-09-14,2,C,,
2023-09-14,3,A,,
2023-09-14,4,W,,
2023-09-14,5,W,,
2023-09-14,6,C,,
2023-09-14,7,W,,
2023-09-14,8,A,,
2023-09-14,9,C,,
2023-09-14,10,C,,
2023-09-14,11,C,,
2023-09-14,12,C,,
2023-09-19,1,C,,
2023-09-19,2,A,,
2023-09-19,3,C,,
2023-09-19,4,C,,
2023-09-19,5,C,,
2023-09-19,6,A,,
2023-09-19,7,C,,
2023-09-19,8,C,,
2023-09-19,9,A,,
2023-09-19,10,W,,
2023-09-19,11,W,,
2023-09-19,12,W,,
2023-09-24,1,W,,
2023-09-24,2,C,,
2023-09-24,3,W,,
2023-09-24,4,A,,
2023-09-24,5,A,,
2023-09-24,6,C,,
