Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cboot1,Taiyo Yuden,EMK107B7104KA-T,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0603  
Cboot2,Taiyo Yuden,EMK107B7104KA-T,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0603  
Rcomp,Vishay-Dale,CRCW040213K0FKED,1,0.01,3,Resistance: 13 kΩ  Tolerance: 1.0%  Power: 63 mW  
Coutx2,Kemet,C0603C105Z8VACTU,1,0.01,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 10 V  ESR: 1 mΩ  Package: 0603  
Cinx,TDK,C3225X7R1H106M250AC,1,0.27,14.7,Cap: 10 µF  Total Derated Cap: 10 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Cin,Panasonic,25SVPF47M,1,0.57,73.96,Cap: 47 µF  Total Derated Cap: 47 µF  VDC: 25 V  ESR: 30 mΩ  Package: 6.3x6  
Ccomp,MuRata,GRM155R70J473KA01D,1,0.01,3,Cap: 47 nF  Total Derated Cap: 47 nF  VDC: 6.3 V  ESR: 1 mΩ  Package: 0402  
Cinx2,TDK,C1005X5R1V105K050BC,1,0.03,3,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 35 V  ESR: 11.42 mΩ  Package: 0402  
Cvcc,TDK,C1608X6S1C475K080AC,1,0.08,4.68,Cap: 4.7 µF  Total Derated Cap: 4.7 µF  VDC: 16 V  ESR: 3.73 mΩ  Package: 0603  
Rent,Vishay-Dale,CRCW0402301KFKED,1,0.01,3,Resistance: 301 kΩ  Tolerance: 1.0%  Power: 63 mW  
Coutx,Kemet,C0805C106K8PACTU,3,0.03,6.75,Cap: 10 µF  Total Derated Cap: 16 µF  VDC: 10 V  ESR: 3 mΩ  Package: 0805  
L1,Bourns,SDR0403-4R7ML,1,0.27,27.5,L: 4.7 µH  DCR: 94 mΩ  IDC: 1.7 A  
Rt,Vishay-Dale,CRCW040248K7FKED,1,0.01,3,Resistance: 48.7 kΩ  Tolerance: 1.0%  Power: 63 mW  
Renb,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cout,Panasonic,10SVPC68MV,1,0.73,58.4,Cap: 68 µF  Total Derated Cap: 68 µF  VDC: 10 V  ESR: 23 mΩ  Package: 5x5.9  
U1,Texas Instruments,TPS55289RYQR,1,3.35,35,
